brand_name,generic_name,status,reason_for_shortage,update_date,initial_posting_date
DEXMEDETOMIDINE HYDROCHLORIDE,DEXMEDETOMIDINE HYDROCHLORIDE,Current,,03/17/2026,04/10/2020
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/16/2026,09/20/2023
HYDROMORPHONE HYDROCHLORIDE,HYDROMORPHONE HYDROCHLORIDE,Current,,03/13/2026,10/31/2017
,Lidocaine Hydrochloride Injection,Current,,08/19/2025,02/22/2012
TOBRAMYCIN,TOBRAMYCIN,To Be Discontinued,,06/16/2025,06/16/2025
ZEMPLAR,PARICALCITOL,To Be Discontinued,,10/07/2025,10/07/2025
DEXMEDETOMIDINE HYDROCHLORIDE IN 0.9% SODIUM CHLORIDE,DEXMEDETOMIDINE HYDROCHLORIDE IN 0.9% SODIUM CHLORIDE,Current,,03/02/2026,04/10/2020
METHOTREXATE,METHOTREXATE,Current,,03/13/2026,03/13/2023
HYDROMORPHONE HYDROCHLORIDE,HYDROMORPHONE HYDROCHLORIDE,Current,,03/16/2026,11/01/2017
XYLOCAINE,LIDOCAINE HYDROCHLORIDE,Current,,03/17/2026,02/22/2012
ZYFLO,ZILEUTON,To Be Discontinued,,04/01/2025,04/01/2025
PENTAMIDINE ISETHIONATE,PENTAMIDINE ISETHIONATE,To Be Discontinued,,03/23/2026,03/23/2026
DEXTROSE,DEXTROSE MONOHYDRATE,Current,,03/17/2026,02/14/2022
METHYLPREDNISOLONE ACETATE,METHYLPREDNISOLONE ACETATE,Current,,03/16/2026,12/15/2021
INSULIN ASPART,INSULIN ASPART,To Be Discontinued,,07/21/2025,07/21/2025
LIDOCAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE,Current,,03/17/2026,07/14/2018
ALBUTEROL SULFATE,ALBUTEROL SULFATE,Current,,01/07/2026,10/25/2022
PINDOLOL,PINDOLOL,To Be Discontinued,,01/30/2026,01/30/2026
DEXTROSE,DEXTROSE MONOHYDRATE,Current,,03/13/2026,01/13/2022
METRONIDAZOLE,METRONIDAZOLE,Current,,11/13/2025,01/13/2022
LACTATED RINGERS,"SODIUM CHLORIDE, POTASSIUM CHLORIDE, SODIUM LACTATE AND CALCIUM CHLORIDE",Resolved,,10/03/2025,10/11/2024
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,12/15/2025,07/14/2023
BUMETANIDE,BUMETANIDE,Current,,03/17/2026,01/31/2018
PROPAFENONE HYDROCHLORIDE,PROPAFENONE HYDROCHLORIDE,To Be Discontinued,,05/14/2025,05/14/2025
DIVALPROEX SODIUM,DIVALPROEX SODIUM,To Be Discontinued,,04/28/2025,04/28/2025
INFUMORPH 500,MORPHINE SULFATE,Current,,03/12/2026,11/03/2017
REYVOW,LASMIDITAN,To Be Discontinued,,11/03/2025,11/03/2025
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Current,,03/16/2026,10/12/2022
SENSORCAINE MPF,BUPIVACAINE HYDROCHLORIDE,Current,,03/17/2026,02/20/2018
ROCURONIUM BROMIDE,ROCURONIUM BROMIDE,Current,,03/13/2026,02/15/2023
,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,To Be Discontinued,,06/13/2025,06/13/2025
MORPHINE SULFATE,MORPHINE SULFATE,Current,,03/13/2026,10/31/2017
EUTHYROX,LEVOTHYROXINE SODIUM,To Be Discontinued,,07/10/2025,07/10/2025
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE,Current,,02/09/2026,07/14/2023
BUPIVACAINE SPINAL,BUPIVACAINE HYDROCHLORIDE IN DEXTROSE,Current,,03/13/2026,02/20/2018
SODIUM ACETATE,SODIUM ACETATE,Current,,03/17/2026,03/23/2016
ETOMIDATE,ETOMIDATE INJECTION,Current,,09/29/2025,10/05/2022
NALTREXONE HYDROCHLORIDE,NALTREXONE HYDROCHLORIDE,Resolved,,02/11/2026,02/29/2024
LIDOCAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE,Current,,03/13/2026,02/22/2012
VYVANSE,LISDEXAMFETAMINE DIMESYLATE,Current,,01/09/2026,07/14/2023
CALCITRIOL,CALCITRIOL,To Be Discontinued,,12/04/2025,12/04/2025
SODIUM CHLORIDE,SODIUM CHLORIDE,To Be Discontinued,,12/03/2025,12/03/2025
FLUPHENAZINE HYDROCHLORIDE,FLUPHENAZINE HYDROCHLORIDE,To Be Discontinued,,09/18/2025,09/18/2025
,Nebivolol Hydrochloride Tablet,To Be Discontinued,,03/25/2026,03/25/2026
LIDOCAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE,Current,,03/13/2026,02/22/2012
ATIVAN,LORAZEPAM,Current,,03/12/2026,09/05/2018
CARBOPLATIN,CARBOPLATIN,Current,,09/29/2025,04/28/2023
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,12/15/2025,01/11/2024
,Atropine Sulfate Injection,Current,,03/17/2026,01/01/2012
FUROSEMIDE,FUROSEMIDE,Current,,08/19/2025,04/07/2020
OXALIPLATIN,OXALIPLATIN,To Be Discontinued,,02/25/2026,02/25/2026
METHOTREXATE,METHOTREXATE,Current,,03/17/2026,03/13/2023
CARBOPLATIN,CARBOPLATIN,Current,,03/13/2026,04/28/2023
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/17/2026,11/01/2023
STERILE WATER,WATER,Current,,03/17/2026,11/23/2021
HYDROMET,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,To Be Discontinued,,09/11/2025,09/11/2025
PEMETREXED,PEMETREXED DISODIUM,To Be Discontinued,,10/10/2025,10/10/2025
RELEXXII,METHYLPHENIDATE HYDROCHLORIDE,Current,,03/17/2026,07/26/2023
CEFOTAXIME,CEFOTAXIME,Current,,03/12/2026,02/17/2015
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE,Current,,02/09/2026,07/14/2023
QUDEXY XR,TOPIRAMATE,To Be Discontinued,,04/24/2025,04/24/2025
HYDROMORPHONE HYDROCHLORIDE,HYDROMORPHONE HYDROCHLORIDE,Current,,03/13/2026,11/01/2017
,Phentermine Hydrochloride Tablet,To Be Discontinued,,06/13/2025,06/13/2025
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Current,,03/19/2026,10/12/2022
AMINOSYN-PF,"ISOLEUCINE, LEUCINE, LYSINE ACETATE, METHIONINE, PHENYLALANINE, THREONINE, TRYPTOPHAN, VALINE, ALANINE, ARGININE, ASPARTIC ACID, GLUTAMIC ACID, GLYCINE, HISTIDINE, PROLINE, SERINE, TAURINE, AND TYROSINE",Current,,03/18/2026,12/08/2020
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Current,,03/16/2026,10/12/2022
VALSARTAN,VALSARTAN,To Be Discontinued,,11/19/2025,11/19/2025
HYDROMORPHONE HYDROCHLORIDE,HYDROMORPHONE HYDROCHLORIDE,Current,,03/13/2026,10/31/2017
PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,Current,,03/12/2026,11/21/2023
MIDAZOLAM,MIDAZOLAM HYDROCHLORIDE,Current,,03/17/2026,04/02/2020
KLONOPIN,CLONAZEPAM,Current,,03/16/2026,03/10/2023
VYVANSE,LISDEXAMFETAMINE DIMESYLATE,Current,,01/09/2026,07/14/2023
MARCAINE,BUPIVACAINE HYDROCHLORIDE,Current,,03/13/2026,02/20/2018
PRIMAXIN IV,IMIPENEM AND CILASTATIN SODIUM,To Be Discontinued,,01/08/2026,01/08/2026
ROCURONIUM,ROCURONIUM BROMIDE,Current,,03/17/2026,02/15/2023
MOXIFLOXACIN,MOXIFLOXACIN HYDROCHLORIDE,To Be Discontinued,,10/29/2025,10/29/2025
CLONAZEPAM,CLONAZEPAM,Current,,10/15/2025,03/10/2023
LORAZEPAM,LORAZEPAM,Current,,03/12/2026,09/05/2018
CARBOPLATIN,CARBOPLATIN,Current,,03/17/2026,04/28/2023
KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,Current,,03/16/2026,03/26/2018
ATROPINE SULFATE,ATROPINE SULFATE,Current,,03/23/2026,01/01/2020
,Nebivolol Hydrochloride Tablet,To Be Discontinued,,03/25/2026,03/25/2026
DEXMEDETOMIDINE HYDROCHLORIDE,DEXMEDETOMIDINE HYDROCHLORIDE,Current,,03/17/2026,04/10/2020
RELEXXII,METHYLPHENIDATE HYDROCHLORIDE,Current,,03/17/2026,07/26/2023
CEFOTAXIME,CEFOTAXIME INJECTION,Current,,12/05/2025,02/17/2015
LACTATED RINGERS,"SODIUM CHLORIDE, SODIUM LACTATE, POTASSIUM CHLORIDE, AND CALCIUM CHLORIDE",Resolved,,10/03/2025,10/11/2024
NAROPIN,ROPIVACAINE HYDROCHLORIDE,Current,,03/17/2026,03/23/2018
,Pemetrexed Ditromethamine Injection,To Be Discontinued,,07/17/2025,07/17/2025
DEXTROSE,DEXTROSE MONOHYDRATE,Current,,03/23/2026,02/14/2022
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Current,,03/19/2026,10/12/2022
CLEOCIN HYDROCHLORIDE,CLINDAMYCIN HYDROCHLORIDE,To Be Discontinued,,02/25/2026,02/25/2026
EUTHYROX,LEVOTHYROXINE SODIUM,To Be Discontinued,,07/10/2025,07/10/2025
SODIUM BICARBONATE,SODIUM BICARBONATE,Current,,03/13/2026,03/01/2017
PHENOBARBITAL,PHENOBARBITAL,To Be Discontinued,,10/31/2025,10/31/2025
,Dextrose Monohydrate 50% Injection,To Be Discontinued,,11/07/2025,11/07/2025
MIDAZOLAM,MIDAZOLAM HYDROCHLORIDE,Current,,03/17/2026,04/02/2020
CLONAZEPAM,CLONAZEPAM,Current,,08/19/2025,03/10/2023
LIDOCAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE,Current,,03/13/2026,02/22/2012
SODIUM CHLORIDE,SODIUM CHLORIDE,To Be Discontinued,,06/10/2025,06/10/2025
VUITY,PILOCARPINE HYDROCHLORIDE,To Be Discontinued,,03/24/2026,03/24/2026
DOPAMINE HYDROCHLORIDE,DOPAMINE HYDROCHLORIDE,Current,,03/12/2026,11/06/2017
NALTREXONE HYDROCHLORIDE,NALTREXONE HYDROCHLORIDE,Resolved,,02/11/2026,02/29/2024
PREMASOL - SULFITE-FREE (AMINO ACID),"LEUCINE, LYSINE, ISOLEUCINE, VALINE, HISTIDINE, PHENYLALANINE, THREONINE, METHIONINE, TRYPTOPHAN, TYROSINE, N-ACETYL-TYROSINE, ARGININE, PROLINE, ALANINE, GLUTAMIC ACIDE, SERINE, GLYCINE, ASPARTIC ACID, TAURINE, CYSTEINE HYDROCHLORIDE",Current,,03/23/2026,12/08/2020
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Current,,03/05/2026,10/12/2022
GRANIX,TBO-FILGRASTIM,To Be Discontinued,,06/13/2025,06/13/2025
POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,To Be Discontinued,,05/19/2025,05/19/2025
LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE,LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE,Current,,03/13/2026,02/22/2012
,Nebivolol Hydrochloride Tablet,To Be Discontinued,,03/25/2026,03/25/2026
CLONAZEPAM,CLONAZEPAM,Current,,01/05/2026,03/27/2023
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/16/2026,07/14/2023
TRIESENCE,TRIAMCINOLONE ACETONIDE,Current,,09/17/2025,09/27/2021
PHENERGAN,PROMETHAZINE HYDROCHLORIDE,Current,,03/12/2026,11/21/2023
MENEST,ESTERIFIED ESTROGENS,To Be Discontinued,,07/29/2025,07/29/2025
,Obeticholic Acid Tablet,To Be Discontinued,,09/19/2025,09/19/2025
,Conivaptan Hydrochloride Injection,Current,,03/16/2026,03/14/2022
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,02/03/2026,07/14/2023
BUPIVACAINE HYDROCHLORIDE,BUPIVACAINE HYDROCHLORIDE,Current,,03/13/2026,02/20/2018
QUINAPRIL,QUINAPRIL,Current,,11/05/2025,01/19/2023
FENTANYL CITRATE,FENTANYL CITRATE,Current,,03/12/2026,12/20/2023
LENTOCILIN,PENICILLIN G BENZATHIN,Current,,03/06/2026,04/26/2023
,Desmopressin Acetate Spray,Current,,09/17/2025,03/12/2021
,Meperidine Hydrochloride Injection,Current,,03/13/2026,05/30/2025
AMANTADINE HYDROCHLORIDE,AMANTADINE HYDROCHLORIDE,To Be Discontinued,,07/23/2025,07/23/2025
REMIFENTANIL HYDROCHLORIDE,REMIFENTANIL HYDROCHLORIDE,Current,,03/17/2026,06/28/2022
FONDAPARINUX SODIUM,FONDAPARINUX SODIUM,To Be Discontinued,,09/29/2025,09/29/2025
PHENOBARBITAL,PHENOBARBITAL,To Be Discontinued,,10/31/2025,10/31/2025
DEXMEDETOMIDINE HYDROCHLORIDE,DEXMEDETOMIDINE HYDROCHLORIDE,Current,,02/09/2026,04/10/2020
METHOTREXATE,METHOTREXATE,Current,,03/16/2026,03/13/2023
CARBOPLATIN,CARBOPLATIN,Current,,03/17/2026,04/28/2023
ROPIVACAINE HYDROCHLORIDE,ROPIVACAINE HYDROCHLORIDE,Current,,08/19/2025,03/23/2018
HALOPERIDOL DECANOATE,HALOPERIDOL DECANOATE,To Be Discontinued,,04/07/2025,04/07/2025
VUITY,PILOCARPINE HYDROCHLORIDE,To Be Discontinued,,03/24/2026,03/24/2026
DEXTROSE,DEXTROSE,Current,,03/19/2026,03/01/2022
METHYLPHENIDATE HYDROCHLORIDE,METHYLPHENIDATE HYDROCHLORIDE,Current,,03/02/2026,07/26/2023
,Carboplatin Injection,To Be Discontinued,,02/20/2026,02/20/2026
ATROPINE SULFATE,ATROPINE SULFATE,Current,,03/17/2026,01/01/2012
CORLANOR,IVABRADINE,To Be Discontinued,,03/24/2026,03/24/2026
POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,To Be Discontinued,,05/19/2025,05/19/2025
,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,To Be Discontinued,,06/13/2025,06/13/2025
METHYLPHENIDATE HYDROCHLORIDE,METHYLPHENIDATE HYDROCHLORIDE,Current,,03/18/2026,07/26/2023
CELECOXIB,CELECOXIB,To Be Discontinued,,08/15/2025,08/15/2025
STERILE WATER,WATER,Current,,03/12/2026,11/23/2021
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Current,,03/24/2026,10/12/2022
QUINAPRIL,QUINAPRIL,Current,,11/05/2025,01/19/2023
DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE,To Be Discontinued,,01/05/2026,01/05/2026
DEPO-MEDROL,METHYLPREDNISOLONE ACETATE,Current,,03/27/2026,12/15/2021
CLONAZEPAM,CLONAZEPAM,Current,,03/17/2026,03/10/2023
VALPROATE SODIUM,VALPROATE SODIUM,Current,,03/12/2026,12/30/2020
KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,Current,,03/16/2026,03/26/2018
REMIFENTANIL HYDROCHLORIDE,REMIFENTANIL HYDROCHLORIDE,Current,,03/17/2026,06/28/2022
KELNOR 1/50,ETHYNODIOL DIACETATE AND ETHINYL ESTRADIOL,To Be Discontinued,,06/13/2025,06/13/2025
METOPROLOL TARTRATE,METOPROLOL TARTRATE,To Be Discontinued,,06/03/2025,06/03/2025
CLONAZEPAM,CLONAZEPAM,Current,,03/16/2026,03/10/2023
AZACITIDINE,AZACITIDINE,Current,,03/17/2026,12/18/2020
EUTHYROX,LEVOTHYROXINE SODIUM,To Be Discontinued,,07/10/2025,07/10/2025
ROPIVACAINE HYDROCHLORIDE,ROPIVACAINE HYDROCHLORIDE,Current,,08/19/2025,03/23/2018
ETOMIDATE,ETOMIDATE,Current,,03/18/2026,10/05/2022
MITIGO,MORPHINE SULFATE,Current,,12/18/2025,10/31/2017
GASTROCROM,CROMOLYN SODIUM,Current,,03/18/2026,11/03/2023
BUMETANIDE,BUMETANIDE,Current,,02/03/2026,12/13/2017
LIDOCAINE,LIDOCAINE HYDROCHLORIDE,Current,,03/12/2026,06/13/2018
STERILE WATER,WATER,Current,,03/13/2026,11/23/2021
FENTANYL CITRATE,FENTANYL CITRATE,Current,,03/17/2026,01/01/2012
NALTREXONE HYDROCHLORIDE,NALTREXONE HYDROCHLORIDE,Resolved,,02/11/2026,02/29/2024
TRAVASOL,"LEUCINE, PHENYLALANINE, LYSINE HYDROCHLORIDE, METHIONINE, ISOLEUCINE, VALINE, HISTIDINE, THREONINE, TRYPTOPHAN, ALANINE, GLYCINE, ARGININE, PROLINE, TYROSINE, SERINE",Current,,03/23/2026,12/08/2020
BUPIVACAINE HYDROCHLORIDE,BUPIVACAINE HYDROCHLORIDE,Current,,03/18/2026,02/20/2018
XYLOCAINE,LIDOCAINE HYDROCHLORIDE,Current,,03/17/2026,02/22/2012
STERILE WATER,WATER,Current,,03/18/2026,04/28/2023
FUROSEMIDE,FUROSEMIDE,Current,,03/16/2026,04/07/2020
OXALIPLATIN,OXALIPLATIN,To Be Discontinued,,04/22/2025,04/22/2025
PRECEDEX,DEXMEDETOMIDINE HYDROCHLORIDE,Current,,03/27/2026,04/10/2020
ENDOCET,OXYCODONE AND ACETAMINOPHEN,To Be Discontinued,,11/03/2025,11/03/2025
LIRAGLUTIDE,LIRAGLUTIDE,Current,,03/16/2026,07/18/2023
VALPROATE SODIUM,VALPROATE SODIUM,Current,,03/17/2026,12/30/2020
FUROSEMIDE,FUROSEMIDE,Current,,03/16/2026,04/07/2020
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Current,,03/16/2026,10/12/2022
DEXTROSE,DEXTROSE MONOHYDRATE,Current,,03/18/2026,02/14/2022
CETRORELIX,CETRORELIX ACETATE,To Be Discontinued,,11/13/2025,11/13/2025
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/16/2026,07/14/2023
AZACITIDINE,AZACITIDINE,Current,,02/18/2026,12/18/2020
SOLU-CORTEF,HYDROCORTISONE SODIUM SUCCINATE,Resolved,,02/24/2026,03/24/2023
POTASSIUM CITRATE,POTASSIUM CITRATE,To Be Discontinued,,07/17/2025,07/17/2025
DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,To Be Discontinued,,05/02/2025,05/02/2025
CLONAZEPAM,CLONAZEPAM,Current,,03/16/2026,03/10/2023
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/16/2026,07/14/2023
BUMETANIDE,BUMETANIDE,Current,,02/03/2026,12/13/2017
,Hydromorphone Hydrochloride Injection,Current,,03/12/2026,11/03/2017
,Prazosin Hydrochloride Capsule,To Be Discontinued,,04/28/2023,04/28/2023
XYLOCAINE MPF,"LIDOCAINE HYDROCHLORIDE,EPINEPHRINE BITARTRATE",Current,,03/17/2026,10/14/2016
DESIPRAMINE HYDROCHLORIDE,DESIPRAMINE HYDROCHLORIDE,To Be Discontinued,,08/12/2025,08/12/2025
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,02/03/2026,07/14/2023
BUPIVACAINE HYDROCHLORIDE,BUPIVACAINE HYDROCHLORIDE,Current,,03/18/2026,02/20/2018
KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,Current,,03/17/2026,03/23/2018
QUINAPRIL HYDROCHLORIDE/HYDROCHLOROTHIAZIDE,QUINAPRIL HYDROCHLORIDE/HYDROCHLOROTHIAZIDE,Current,,10/15/2025,01/19/2023
ETOMIDATE,ETOMIDATE,Current,,03/02/2026,10/05/2022
DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE SODIUM PHOSPHATE,Current,,03/17/2026,02/08/2019
,Meperidine Hydrochloride Injection,Current,,03/13/2026,05/30/2025
DIURIL,CHLOROTHIAZIDE,To Be Discontinued,,02/10/2026,02/10/2026
LIDOCAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE,Current,,03/13/2026,02/22/2012
,Atropine Sulfate Injection,To Be Discontinued,,11/07/2025,11/07/2025
,Fentanyl Citrate Injection,Current,,03/12/2026,12/20/2023
DEXMEDETOMIDINE HYDROCHLORIDE,DEXMEDETOMIDINE HYDROCHLORIDE,Current,,03/17/2026,04/10/2020
METHOTREXATE,METHOTREXATE,Current,,03/16/2026,03/13/2023
CLINDAMYCIN,CLINDAMYCIN PHOSPHATE,Current,,03/16/2026,03/21/2023
XYLOCAINE MPF,LIDOCAINE HYDROCHLORIDE,Current,,03/17/2026,02/22/2012
PRIFTIN,RIFAPENTINE,Current,,09/17/2025,03/25/2020
FINASTERIDE,FINASTERIDE,To Be Discontinued,,08/19/2025,08/19/2025
LOTREL,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,To Be Discontinued,,06/24/2025,06/24/2025
METHYLPREDNISOLONE ACETATE,METHYLPREDNISOLONE ACETATE,Current,,03/18/2026,12/15/2021
CLONAZEPAM,CLONAZEPAM,Current,,01/05/2026,03/10/2023
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/16/2026,07/14/2023
ROCURONIUM BROMIDE,ROCURONIUM BROMIDE,Current,,03/23/2026,02/15/2023
FLUVASTATIN SODIUM ER,FLUVASTATIN SODIUM,To Be Discontinued,,01/27/2026,01/27/2026
DEXMEDETOMIDINE,DEXMEDETOMIDINE,Current,,09/29/2025,04/10/2020
DEPO-MEDROL,METHYLPREDNISOLONE ACETATE,Current,,03/27/2026,12/15/2021
ENDOCET,OXYCODONE AND ACETAMINOPHEN,To Be Discontinued,,11/03/2025,11/03/2025
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/17/2026,11/01/2023
NAROPIN,ROPIVACAINE HYDROCHLORIDE,Current,,03/17/2026,03/23/2018
FUROSEMIDE,FUROSEMIDE,Current,,03/17/2026,04/07/2020
DEXTROSE,DEXTROSE MONOHYDRATE,Current,,03/17/2026,02/14/2022
METOPROLOL TARTRATE,METOPROLOL TARTRATE,To Be Discontinued,,06/03/2025,06/03/2025
DESIPRAMINE HYDROCHLORIDE,DESIPRAMINE HYDROCHLORIDE,To Be Discontinued,,08/12/2025,08/12/2025
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/18/2026,07/14/2023
SODIUM BICARBONATE,SODIUM BICARBONATE,Current,,03/13/2026,03/01/2017
HEPARIN SODIUM IN SODIUM CHLORIDE,HEPARIN SODIUM,Current,,03/23/2026,11/14/2017
DOBUTAMINE,DOBUTAMINE,Current,,10/15/2025,11/06/2017
DURAMORPH,MORPHINE SULFATE,Current,,03/12/2026,11/03/2017
DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE SODIUM PHOSPHATE,Current,,03/17/2026,02/08/2019
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/18/2026,07/14/2023
TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN HYDROCHLORIDE,To Be Discontinued,,04/10/2025,04/10/2025
HYDROMORPHONE HYDROCHLORIDE,HYDROMORPHONE HYDROCHLORIDE,Current,,03/17/2026,10/31/2017
,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,To Be Discontinued,,06/13/2025,06/13/2025
NALTREXONE HYDROCHLORIDE,NALTREXONE HYDROCHLORIDE,Resolved,,02/11/2026,02/29/2024
LOTREL,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,To Be Discontinued,,06/24/2025,06/24/2025
ATIVAN,LORAZEPAM,Current,,03/12/2026,09/05/2018
,Baclofen Tablet,To Be Discontinued,,04/23/2025,04/23/2025
KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,Current,,03/17/2026,03/23/2018
ETOMIDATE,ETOMIDATE INJECTION,Current,,09/29/2025,10/05/2022
OXALIPLATIN,OXALIPLATIN,To Be Discontinued,,10/20/2025,10/20/2025
PRECEDEX,DEXMEDETOMIDINE HYDROCHLORIDE,Current,,03/13/2026,04/10/2020
DEMEROL,MEPERIDINE HYDROCHLORIDE,Current,,03/13/2026,05/30/2025
BUPIVACAINE HYDROCHLORIDE,BUPIVACAINE HYDROCHLORIDE,Current,,08/19/2025,02/20/2018
XYLOCAINE,LIDOCAINE HYDROCHLORIDE,Current,,03/17/2026,02/22/2012
,Flurazepam Hydrochloride Capsule,Current,,01/14/2026,08/03/2022
,Amphotericin B Injection,To Be Discontinued,,08/08/2025,08/08/2025
DEXTROSE,DEXTROSE MONOHYDRATE,Current,,03/17/2026,02/14/2022
METHYLPHENIDATE HYDROCHLORIDE,METHYLPHENIDATE HYDROCHLORIDE,Current,,03/16/2026,07/26/2023
SENSORCAINE MPF,BUPIVACAINE HYDROCHLORIDE,Current,,03/17/2026,02/20/2018
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Current,,03/05/2026,10/12/2022
FUROSEMIDE,FUROSEMIDE,Current,,09/29/2025,04/07/2020
ZEMPLAR,PARICALCITOL,To Be Discontinued,,10/07/2025,10/07/2025
DOBUTAMINE HYDROCHLORIDE IN DEXTROSE,DOBUTAMINE HYDROCHLORIDE,Current,,03/23/2026,11/06/2017
